# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-3.6433e-05 -----------------
#dely    BF
0.050 0.001581 0.000002
0.150 0.001641 0.000002
0.250 0.001556 0.000002
0.350 0.001191 0.000001
0.450 0.001226 0.000002
0.550 0.000894 0.000001
0.650 0.000070 0.000000
0.750 -0.000094 -0.000000
0.850 -0.000813 -0.000001
0.950 -0.001269 -0.000002
1.050 -0.001634 -0.000003
1.150 -0.001685 -0.000004
1.250 -0.001299 -0.000004
1.350 -0.000941 -0.000003
1.450 -0.000546 -0.000002
1.550 -0.000202 -0.000001
1.650 -0.000041 -0.000001
1.750 -0.000000 -0.000000
