# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0394763 -----------------
#dely    BF
0.050 0.005057 0.000003
0.150 0.006014 0.000003
0.250 0.010440 0.000006
0.350 0.015510 0.000009
0.450 0.021845 0.000013
0.550 0.026929 0.000016
0.650 0.029852 0.000019
0.750 0.032622 0.000023
0.850 0.034809 0.000026
0.950 0.034885 0.000028
1.050 0.035114 0.000031
1.150 0.034784 0.000034
1.250 0.031973 0.000036
1.350 0.027903 0.000036
1.450 0.023587 0.000036
1.550 0.015556 0.000031
1.650 0.007138 0.000022
1.750 0.000744 0.000006
