# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-2.09192e-05 -----------------
#dely    BF
0.050 -0.027271 -0.000107
0.150 -0.016704 -0.000067
0.250 -0.002319 -0.000010
0.350 0.014203 0.000063
0.450 0.022566 0.000108
0.550 0.024072 0.000126
0.650 0.019728 0.000115
0.750 0.012220 0.000079
0.850 0.001443 0.000011
0.950 -0.007035 -0.000061
1.050 -0.012780 -0.000131
1.150 -0.012591 -0.000163
1.250 -0.009778 -0.000164
1.350 -0.004417 -0.000105
1.450 -0.001358 -0.000054
1.550 -0.000188 -0.000015
1.650 0.000000 0.000000
1.750 0.000000 0.000000
