# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-7.83578e-05 -----------------
#dely    BF
0.050 -0.000844 -0.000001
0.150 -0.000507 -0.000000
0.250 0.000413 0.000000
0.350 0.001880 0.000002
0.450 0.002371 0.000003
0.550 0.002233 0.000003
0.650 0.001915 0.000002
0.750 0.001330 0.000002
0.850 -0.000019 -0.000000
0.950 -0.001116 -0.000002
1.050 -0.001693 -0.000003
1.150 -0.002274 -0.000005
1.250 -0.001815 -0.000005
1.350 -0.001390 -0.000005
1.450 -0.000843 -0.000004
1.550 -0.000344 -0.000002
1.650 -0.000080 -0.000001
1.750 -0.000000 -0.000000
