# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.273948 -----------------
#dely    BF
0.050 0.502923 0.000179
0.150 0.459033 0.000169
0.250 0.404540 0.000156
0.350 0.345116 0.000141
0.450 0.284412 0.000124
0.550 0.226461 0.000107
0.650 0.172117 0.000088
0.750 0.126402 0.000071
0.850 0.089916 0.000056
0.950 0.059272 0.000041
1.050 0.036235 0.000029
1.150 0.020133 0.000018
1.250 0.009899 0.000010
1.350 0.003978 0.000005
1.450 0.000554 0.000001
1.550 -0.000767 -0.000002
1.650 -0.000655 -0.000002
1.750 -0.000088 -0.000001
