# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-6.53426e-05 -----------------
#dely    BF
0.050 0.001963 0.000003
0.150 0.001266 0.000002
0.250 0.000028 0.000000
0.350 -0.001032 -0.000002
0.450 -0.002116 -0.000004
0.550 -0.001449 -0.000003
0.650 -0.000578 -0.000001
0.750 -0.000229 -0.000001
0.850 0.000201 0.000001
0.950 0.000487 0.000002
1.050 0.000441 0.000002
1.150 0.000249 0.000001
1.250 0.000157 0.000001
1.350 -0.000054 -0.000000
1.450 0.000035 0.000000
1.550 -0.000020 -0.000000
1.650 -0.000002 -0.000000
1.750 0.000000 0.000000
