# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00110023 -----------------
#dely    BF
0.050 0.016442 0.000121
0.150 0.010722 0.000081
0.250 0.000351 0.000003
0.350 -0.010202 -0.000085
0.450 -0.016436 -0.000148
0.550 -0.015695 -0.000156
0.650 -0.013718 -0.000150
0.750 -0.005688 -0.000070
0.850 -0.000676 -0.000010
0.950 0.003571 0.000061
1.050 0.007407 0.000155
1.150 0.006319 0.000170
1.250 0.003892 0.000144
1.350 0.001985 0.000113
1.450 0.000707 0.000078
1.550 0.000018 0.000010
1.650 0.000000 0.000000
1.750 0.000000 0.000000
