# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0126134 -----------------
#dely    BF
0.050 0.016849 0.000020
0.150 0.016271 0.000019
0.250 0.015912 0.000020
0.350 0.014858 0.000019
0.450 0.013418 0.000018
0.550 0.011614 0.000017
0.650 0.009805 0.000015
0.750 0.008434 0.000014
0.850 0.006371 0.000011
0.950 0.004654 0.000009
1.050 0.003179 0.000007
1.150 0.002150 0.000005
1.250 0.001329 0.000004
1.350 0.000707 0.000003
1.450 0.000397 0.000002
1.550 0.000159 0.000001
1.650 0.000026 0.000000
1.750 0.000001 0.000000
