# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-2.15824e-05 -----------------
#dely    BF
0.050 0.009214 0.000015
0.150 0.007124 0.000012
0.250 0.005191 0.000009
0.350 0.002121 0.000004
0.450 -0.000911 -0.000002
0.550 -0.001942 -0.000004
0.650 -0.002917 -0.000007
0.750 -0.003228 -0.000008
0.850 -0.003247 -0.000009
0.950 -0.003021 -0.000010
1.050 -0.002871 -0.000011
1.150 -0.002436 -0.000011
1.250 -0.001822 -0.000010
1.350 -0.000934 -0.000007
1.450 -0.000357 -0.000004
1.550 -0.000177 -0.000003
1.650 -0.000003 -0.000000
1.750 0.000000 0.000000
