# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=2.37112e-05 -----------------
#dely    BF
0.050 0.002196 0.000004
0.150 0.001354 0.000002
0.250 -0.000651 -0.000001
0.350 -0.001642 -0.000003
0.450 -0.002360 -0.000005
0.550 -0.001806 -0.000004
0.650 -0.000734 -0.000002
0.750 -0.000108 -0.000000
0.850 0.000467 0.000001
0.950 0.000785 0.000003
1.050 0.001033 0.000004
1.150 0.000559 0.000002
1.250 0.000612 0.000003
1.350 0.000326 0.000002
1.450 0.000169 0.000002
1.550 0.000031 0.000001
1.650 0.000007 0.000000
1.750 0.000000 0.000000
