# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=9.11165e-05 -----------------
#dely    BF
0.050 0.001013 0.000002
0.150 0.000199 0.000000
0.250 -0.000893 -0.000002
0.350 -0.001979 -0.000004
0.450 -0.002317 -0.000005
0.550 -0.001362 -0.000003
0.650 -0.000277 -0.000001
0.750 0.000623 0.000002
0.850 0.001179 0.000004
0.950 0.001463 0.000005
1.050 0.001179 0.000005
1.150 0.000913 0.000004
1.250 0.000584 0.000003
1.350 0.000349 0.000003
1.450 0.000164 0.000002
1.550 0.000063 0.000001
1.650 0.000011 0.000001
1.750 0.000000 0.000000
