# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-9.29935e-05 -----------------
#dely    BF
0.050 0.002897 0.000005
0.150 0.001528 0.000003
0.250 0.000268 0.000000
0.350 -0.001255 -0.000002
0.450 -0.002565 -0.000005
0.550 -0.002160 -0.000005
0.650 -0.001292 -0.000003
0.750 -0.000741 -0.000002
0.850 -0.000096 -0.000000
0.950 0.000436 0.000001
1.050 0.000553 0.000002
1.150 0.000602 0.000003
1.250 0.000397 0.000002
1.350 0.000284 0.000002
1.450 0.000174 0.000002
1.550 0.000029 0.000001
1.650 0.000011 0.000001
1.750 0.000000 0.000000
