# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=6.19167e-05 -----------------
#dely    BF
0.050 0.121099 0.000808
0.150 0.094433 0.000654
0.250 0.052854 0.000381
0.350 0.009977 0.000077
0.450 -0.023299 -0.000197
0.550 -0.055418 -0.000506
0.650 -0.054346 -0.000564
0.750 -0.056265 -0.000659
0.850 -0.039914 -0.000551
0.950 -0.026211 -0.000433
1.050 -0.016433 -0.000333
1.150 -0.005382 -0.000145
1.250 -0.001020 -0.000038
1.350 0.000302 0.000017
1.450 0.000242 0.000029
1.550 0.000000 0.000000
1.650 0.000000 0.000000
1.750 0.000000 0.000000
