# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=6.52341e-05 -----------------
#dely    BF
0.050 0.041959 0.000022
0.150 0.038058 0.000020
0.250 0.031412 0.000017
0.350 0.027046 0.000016
0.450 0.019094 0.000012
0.550 0.011828 0.000008
0.650 0.003528 0.000002
0.750 -0.005228 -0.000004
0.850 -0.012574 -0.000010
0.950 -0.018991 -0.000016
1.050 -0.024273 -0.000023
1.150 -0.025778 -0.000027
1.250 -0.025345 -0.000029
1.350 -0.023637 -0.000032
1.450 -0.018468 -0.000030
1.550 -0.012258 -0.000025
1.650 -0.005238 -0.000017
1.750 -0.000484 -0.000004
