# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-9.77151e-05 -----------------
#dely    BF
0.050 0.000702 0.000001
0.150 0.000376 0.000000
0.250 0.000360 0.000000
0.350 0.000582 0.000001
0.450 0.000730 0.000001
0.550 -0.000241 -0.000000
0.650 -0.000068 -0.000000
0.750 -0.000308 -0.000000
0.850 -0.000480 -0.000001
0.950 -0.000794 -0.000001
1.050 -0.000783 -0.000002
1.150 -0.000546 -0.000001
1.250 -0.000402 -0.000001
1.350 -0.000190 -0.000001
1.450 0.000055 0.000000
1.550 0.000041 0.000000
1.650 -0.000010 -0.000000
1.750 -0.000000 -0.000000
