# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=50000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=2.03444e-05 -----------------
#dely    BF
0.050 0.004183 0.000006
0.150 0.003007 0.000005
0.250 0.001354 0.000002
0.350 -0.000142 -0.000000
0.450 -0.001546 -0.000003
0.550 -0.001470 -0.000003
0.650 -0.001296 -0.000003
0.750 -0.000969 -0.000002
0.850 -0.000852 -0.000002
0.950 -0.000575 -0.000002
1.050 -0.000444 -0.000002
1.150 -0.000369 -0.000002
1.250 -0.000290 -0.000002
1.350 -0.000218 -0.000002
1.450 -0.000131 -0.000002
1.550 -0.000035 -0.000001
1.650 -0.000004 -0.000000
1.750 0.000000 0.000000
